"CoverName","PerformerName","YoutubeUri","SongId"
"Yellow","Silhouette","",26462
"Yellow","Josh Harrison","",26462
"Yellow","Joey Curtin","https://youtu.be/-Gr7_NT3sPM",26462
"Yellow","Tara MacLean","",26462
"Yellow","Brooke White","",26462
"Yellow","Orleya","https://youtu.be/8RsqgEuhXYk",26462
"Yellow","The City of Prague Philharmonic Orchestra","",26462
"Yellow","Vitamin String Quartet","https://youtu.be/3PG7dqQeC38",26462
"Yellow","Scala & Kolacny Brothers","",26462
"Yellow","Tre Lux","",26462
"Yellow","Alex [Parks]","",26462
"Yellow","K's Choice","https://youtu.be/PiQPd8oxOPQ",26462
"Yellow","Richard Cheese","https://youtu.be/vAuXkh_cG5w",26462
"Yellow","Joe Slomp feat. Dario Deidda","",26462
"Yellow","Jem [GB]","https://youtu.be/MmYa2Sne2vQ",26462
"Yellow","G4","https://youtu.be/5Tn326eaWeU",26462
"Yellow","Steve Acho","https://youtu.be/0K5qdVfuMLg",26462
"Yellow","Petra Haden and Bill Frisell","https://youtu.be/kAOenOThRbw",26462
"Yellow","Damian McGinty","",26462
"Yellow","Old School Freight Train","https://youtu.be/kEMz4-IyrAE",26462
"Yellow","Lex Vandyke","",26462
"Yellow","Michael Armstrong","",26462
"Yellow","Sitti","https://youtu.be/0ZMSXBKRAqU",26462
"Yellow","Sad Songs and Waltzes","",26462
"Yellow","Natty Bong","https://youtu.be/sJtNF3qdGtM",26462
"Coldplay Medley","Noah Guthrie","https://youtu.be/T2UKdUqrJAc",26462
"Yellow","Ingeborg Fosse","",26462
"Yellow","Tyler Ward","https://youtu.be/pK7p6DzpcRA",26462
"Yellow","Boyce Avenue","https://youtu.be/HPWzy7wpy8Q",26462
"Yellow","Rick Braun","https://youtu.be/dG1TcgCn0j8",26462
"Yellow","Leo feat. Davie504","https://youtu.be/b5GgORgzBVM",26462
"Yellow","Alathea","https://youtu.be/lamHtT9wLSM",26462
"Yellow","Ethan Butler & Matt McAndrew","https://youtu.be/TRk9eqsMHMI",26462
"Yellow","Julia Westlin","https://youtu.be/ycRhVTgm4QE",26462
"Yellow","Daniel Jang","https://youtu.be/DlTEhfLr6rs",26462
"Yellow","Thosebricks","https://youtu.be/zHhquFzv6mg",26462
"Yellow","Ginamarie","https://youtu.be/JbswXjJbdoc",26462
"Yellow","Hayley Sanderson","",26462
"Yellow","On the Rocks","https://youtu.be/EENqspKkoXE",26462
"Yellow","Al-pha-X","",26462
"Yellow","Jingo feat. Marina","https://youtu.be/AOPFdaTCuiA",26462
"Yellow","Karizma Duo","",26462
"Yellow","Dallas String Quartet","https://youtu.be/1eEL8YXHRfo",26462
"Yellow","DJ Style","https://youtu.be/XjdpPcWlkpU",26462
